'2021-05-08', '8.3.4', '8x3:00/1:00r', 'Devour', 'Intervals', 'Rower', '6.4km', '0:24:00', '0:08:00', '451'
'2021-05-11', '8.3.5', '4x2:00+2:00/1:00r TT-2+1', 'Devour', 'Ascending Devour', 'Rower', '5.0km', '0:20:00', '0:04:00', '343'
'2021-05-12', '8.4.1', '5x1:15+1:00/0:45r TT+1', 'Devour', 'Devour', 'Rower', '4.2km', '0:16:15', '0:03:45', '294'
'2021-05-14', '8.4.5', '12x2:00/2:00+20%', 'Devour', 'Flux', 'AirDyne', '12.5km', '0:24:00', '0:00:00', '355'
'2021-05-18', '8.4.3', 'Bike 40:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '20.1km', '0:40:00', '0:00:00', '556'
'2021-05-19', '8.4.2', '18x0:45/0:15', 'Devour', 'Intervals', 'Rower', '3.7km', '0:13:30', '0:04:30', '274'
'2021-05-21', '8.4.4', '12x0:30+0:30/0:30r TT-4+1', 'Devour', 'Ascending Devour', 'Rower', '7.6km', '0:39:00', '0:06:00', '538'
'2021-05-22', '9.1.1', 'Bike 40:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '20.1km', '0:40:00', '0:00:00', '555'
'2021-05-23', '9.1.2', '5x1:00+1:00/1:00r TT+2', 'Devour', 'Ascending Devour', 'Rower', '4.0km', '0:15:00', '0:05:00', '291'
'2021-05-24', '9.1.3', 'Bike 45:00', 'Devour', 'Endurance', 'BikeErg', '22.1km', '0:45:00', '0:00:00', '720'
'2021-05-25', '9.1.4', '12x1:30/0:30r', 'Devour', 'Intervals', 'Rower', '4.9km', '0:18:00', '0:06:00', '354'
'2021-05-28', '9.1.5', '4x3:00/2:00r-0:30r TT+1; Max TT+1', 'Devour', 'Descending Devour', 'Rower', '3.1km', '0:12:00', '0:05:00', '0'
'2021-05-29', '9.2.2', '6x3:00/2:00r', 'Devour', 'Intervals', 'Rower', '5.0km', '0:18:00', '0:12:00', '366'
'2021-05-30', '9.2.1', '8x0:30+0:30/0:30r TT+3', 'Devour', 'Ascending Devour', 'Rower', '4.9km', '0:18:00', '0:04:00', '361'
